knr,kname,year,nh.beds.located.in.muni
2027,Unjárga - Nesseby,2016,20
2027,Unjárga - Nesseby,2017,19
2027,Unjárga - Nesseby,2018,19
2028,Båtsfjord,2015,18
2028,Båtsfjord,2016,18
2028,Båtsfjord,2017,17
2028,Båtsfjord,2018,19
2030,Sør-Varanger,2015,83
2030,Sør-Varanger,2016,83
2030,Sør-Varanger,2017,87
2030,Sør-Varanger,2018,86
2111,Longyearbyen,2015,NA
2111,Longyearbyen,2016,NA
2111,Longyearbyen,2017,NA
2111,Longyearbyen,2018,NA
5001,Trondheim,2015,NA
5001,Trondheim,2016,NA
5001,Trondheim,2017,NA
5001,Trondheim,2018,1498
5004,Steinkjer,2015,NA
5004,Steinkjer,2016,NA
5004,Steinkjer,2017,NA
5004,Steinkjer,2018,154
5005,Namsos,2015,NA
5005,Namsos,2016,NA
5005,Namsos,2017,NA
5005,Namsos,2018,107
5011,Hemne,2015,NA
5011,Hemne,2016,NA
5011,Hemne,2017,NA
5011,Hemne,2018,35
5012,Snillfjord,2015,NA
5012,Snillfjord,2016,NA
5012,Snillfjord,2017,NA
5012,Snillfjord,2018,19
5013,Hitra,2015,NA
5013,Hitra,2016,NA
5013,Hitra,2017,NA
5013,Hitra,2018,33
5014,Frøya,2015,NA
5014,Frøya,2016,NA
5014,Frøya,2017,NA
5014,Frøya,2018,57
5015,Ørland,2015,NA
5015,Ørland,2016,NA
5015,Ørland,2017,NA
5015,Ørland,2018,36
5016,Agdenes,2015,NA
5016,Agdenes,2016,NA
5016,Agdenes,2017,NA
5016,Agdenes,2018,27
5017,Bjugn,2015,NA
5017,Bjugn,2016,NA
5017,Bjugn,2017,NA
5017,Bjugn,2018,16
5018,Åfjord,2015,NA
5018,Åfjord,2016,NA
5018,Åfjord,2017,NA
5018,Åfjord,2018,41
5019,Roan,2015,NA
5019,Roan,2016,NA
5019,Roan,2017,NA
5019,Roan,2018,15
5020,Osen,2015,NA
5020,Osen,2016,NA
5020,Osen,2017,NA
5020,Osen,2018,15
5021,Oppdal,2015,NA
5021,Oppdal,2016,NA
5021,Oppdal,2017,NA
5021,Oppdal,2018,61
5022,Rennebu,2015,NA
5022,Rennebu,2016,NA
5022,Rennebu,2017,NA
5022,Rennebu,2018,30
5023,Meldal,2015,NA
5023,Meldal,2016,NA
5023,Meldal,2017,NA
5023,Meldal,2018,51
5024,Orkdal,2015,NA
5024,Orkdal,2016,NA
5024,Orkdal,2017,NA
5024,Orkdal,2018,111
5025,Røros,2015,NA
5025,Røros,2016,NA
5025,Røros,2017,NA
5025,Røros,2018,70
5026,Holtålen,2015,NA
5026,Holtålen,2016,NA
5026,Holtålen,2017,NA
5026,Holtålen,2018,28
5027,Midtre Gauldal,2015,NA
5027,Midtre Gauldal,2016,NA
5027,Midtre Gauldal,2017,NA
5027,Midtre Gauldal,2018,60
5028,Melhus,2015,NA
5028,Melhus,2016,NA
5028,Melhus,2017,NA
5028,Melhus,2018,110
5029,Skaun,2015,NA
5029,Skaun,2016,NA
5029,Skaun,2017,NA
5029,Skaun,2018,44
5030,Klæbu,2015,NA
5030,Klæbu,2016,NA
5030,Klæbu,2017,NA
5030,Klæbu,2018,31
5031,Malvik,2015,NA
5031,Malvik,2016,NA
5031,Malvik,2017,NA
5031,Malvik,2018,54
5032,Selbu,2015,NA
5032,Selbu,2016,NA
5032,Selbu,2017,NA
5032,Selbu,2018,49
5033,Tydal,2015,NA
5033,Tydal,2016,NA
5033,Tydal,2017,NA
5033,Tydal,2018,20
5034,Meråker,2015,NA
5034,Meråker,2016,NA
5034,Meråker,2017,NA
5034,Meråker,2018,38
5035,Stjørdal,2015,NA
5035,Stjørdal,2016,NA
5035,Stjørdal,2017,NA
5035,Stjørdal,2018,87
5036,Frosta,2015,NA
5036,Frosta,2016,NA
5036,Frosta,2017,NA
5036,Frosta,2018,23
5037,Levanger,2015,NA
5037,Levanger,2016,NA
5037,Levanger,2017,NA
5037,Levanger,2018,59
5038,Verdal,2015,NA
5038,Verdal,2016,NA
5038,Verdal,2017,NA
5038,Verdal,2018,94
5039,Verran,2015,NA
5039,Verran,2016,NA
5039,Verran,2017,NA
5039,Verran,2018,24
5040,Namdalseid,2015,NA
5040,Namdalseid,2016,NA
5040,Namdalseid,2017,NA
5040,Namdalseid,2018,24
5041,Snåase - Snåsa,2015,NA
5041,Snåase - Snåsa,2016,NA
5041,Snåase - Snåsa,2017,NA
5041,Snåase - Snåsa,2018,34
5042,Lierne,2015,NA
5042,Lierne,2016,NA
5042,Lierne,2017,NA
5042,Lierne,2018,27
5043,Raarvihke - Røyrvik,2015,NA
5043,Raarvihke - Røyrvik,2016,NA
5043,Raarvihke - Røyrvik,2017,NA
5043,Raarvihke - Røyrvik,2018,18
5044,Namsskogan,2015,NA
5044,Namsskogan,2016,NA
5044,Namsskogan,2017,NA
5044,Namsskogan,2018,21
5045,Grong,2015,NA
5045,Grong,2016,NA
5045,Grong,2017,NA
5045,Grong,2018,49
5046,Høylandet,2015,NA
5046,Høylandet,2016,NA
5046,Høylandet,2017,NA
5046,Høylandet,2018,27
5047,Overhalla,2015,NA
5047,Overhalla,2016,NA
5047,Overhalla,2017,NA
5047,Overhalla,2018,40
5048,Fosnes,2015,NA
5048,Fosnes,2016,NA
5048,Fosnes,2017,NA
5048,Fosnes,2018,17
5049,Flatanger,2015,NA
5049,Flatanger,2016,NA
5049,Flatanger,2017,NA
5049,Flatanger,2018,21
5050,Vikna,2015,NA
5050,Vikna,2016,NA
5050,Vikna,2017,NA
5050,Vikna,2018,44
5051,Nærøy,2015,NA
5051,Nærøy,2016,NA
5051,Nærøy,2017,NA
5051,Nærøy,2018,56
5052,Leka,2015,NA
5052,Leka,2016,NA
5052,Leka,2017,NA
5052,Leka,2018,14
5053,Inderøy,2015,NA
5053,Inderøy,2016,NA
5053,Inderøy,2017,NA
5053,Inderøy,2018,45
5054,Indre Fosen,2015,NA
5054,Indre Fosen,2016,NA
5054,Indre Fosen,2017,NA
5054,Indre Fosen,2018,133
